X_in,X_out
1374,1
494,1582
7,10
2272,812
1040,1
192,4
1302,3655
1449,629
2110,58
617,228
2043,1024
1210,2185
25,42
514,3823
1711,200
578,90
2401,6
620,1
3045,769
1636,5
3015,2
205,669
249,244
136,1989
1727,112
1127,500
1543,25
3865,5
2723,1
2731,146
2054,427
845,5
3127,4
2868,1
946,1
3910,2
1022,163
878,683
192,16
3923,590
38,42
1152,1277
607,27
32,27
1042,7
2683,362
1181,446
3480,22
1846,2
393,227
930,5
2304,1
1715,457
3372,187
741,445
687,1
1577,51
102,1
201,57
1510,2106
2179,24
27,1
3281,29
2612,1074
342,3
364,1574
501,34
1345,74
1564,260
321,611
2460,40
278,285
1898,6
308,931
1635,28
2255,186
2282,3262
348,49
768,1123
28,5
482,333
335,64
1066,1
3232,23
625,351
2150,2567
2440,11
2159,430
3727,29
81,549
2289,390
13,9
2296,24
1275,2
365,32
2438,1
2630,669
1808,47
2399,1728
705,135
1222,7
212,2
2215,3
7,26
74,7
935,1389
920,2
3447,5
980,50
3990,6
2498,5
5,1521
2581,29
751,120
3652,2
570,1148
647,70
64,461
3037,534
429,5
923,1
1886,13
2272,3
477,546
51,1500
323,1
1655,103
12,1487
2134,2
59,11
3322,2562
644,421
2593,2815
1418,2
2369,12
2514,1721
1400,2891
2801,215
501,290
2863,2292
652,37
387,14
1220,16
3062,1351
646,6
2907,578
3346,1
3399,7
473,248
2472,886
2528,403
1997,532
1956,513
2535,243
2344,137
1243,1
1007,2143
168,889
2957,2957
1366,128
2367,224
21,1
413,3
727,21
311,79
13,596
1485,33
99,90
2233,1
1427,42
3197,932
2403,39
453,1
2296,12
2593,14
51,3
663,1
730,544
82,52
2344,14
776,7
260,1
486,4
626,2
468,8
1254,3992
231,1906
1920,2803
749,1
506,2
26,462
64,1
2424,365
2239,30
41,81
610,23
313,83
3626,311
1895,5
2918,13
1,810
365,1775
1,29
6,38
10,22
2726,3742
1161,273
454,298
544,2
260,207
2754,209
3950,12
242,655
221,638
3233,1
837,1
1286,569
729,12
2355,45
1549,2986
5,83
2187,2
2397,598
26,60
2271,1553
14,1
32,7
2085,340
1391,225
110,19
3956,19
138,5
1927,1849
8,8
2742,376
19,369
3427,64
251,3550
330,1
3175,212
2690,5
2080,1600
2370,7
3825,15
1908,41
3471,10
2779,733
309,48
69,133
1760,3
1125,142
1379,3
3034,3034
1300,2053
2345,5
1795,4
498,1
65,5
2954,28
1345,311
306,65
2156,1
2616,1906
756,1652
3644,42
2164,3
1480,127
2922,15
2455,103
559,559
939,6
278,1
543,744
120,2
570,22
524,17
2912,2
2715,1
1471,6
2277,335
974,26
1634,2
119,2175
1642,31
1026,113
35,377
3638,130
2440,7
972,12
2013,6
31,162
691,1
2037,1
962,40
3126,2795
2483,616
14,136
3867,28
684,697
1511,551
372,28
283,2
3138,1
1092,383
267,4
863,219
59,29
642,60
548,3403
3765,532
36,199
3324,5
2798,14
1145,41
1051,2047
3747,20
259,100
2274,19
2336,181
2382,2161
3081,1
2907,1
3494,7
1796,34
190,1
1654,24
2149,107
1284,605
2164,31
1568,470
1111,3
1479,2
2852,39
2369,75
3968,2016
177,18
716,14
1022,6
3984,104
2429,984
53,32
896,6
1095,3786
3014,13
1037,1
379,705
7,1
813,11
1945,68
1840,497
1142,1
2225,283
1642,42
3497,2819
2013,3634
810,2813
766,7
2843,234
71,292
8,9
3196,1
3034,40
1293,3
893,330
1665,688
1522,2
27,11
2639,6
1699,34
3007,70
2830,1910
2591,1929
2897,2
1828,154
3312,250
2059,133
1280,1
122,1
1224,100
3489,1869
403,2933
3042,2768
1478,2
658,2093
1588,1728
3773,18
1733,343
2395,534
2092,3
1850,87
3805,18
125,1
490,1
1372,18
16,8
134,2
235,549
276,233
1248,27
905,373
1302,52
1272,19
3090,37
196,885
2125,1
1818,1403
2678,1099
115,1136
884,25
2002,3
1429,25
3019,7
1765,100
1085,3
3278,656
1633,1019
465,2281
2192,1914
912,1112
3302,39
58,2
2159,51
2802,2158
2288,3828
672,1
3709,1010
2768,6
1323,10
1224,51
1199,5
1945,287
3115,7
3494,3
2320,2
2268,1413
1264,42
700,7
3572,1
1597,1
2147,51
1470,24
696,1139
201,174
421,1737
2911,476
3507,2160
26,5
782,7
68,938
297,5
3009,386
123,91
1231,35
185,1080
1359,127
82,86
860,41
1440,883
3347,22
1996,2426
827,21
414,1323
300,1
846,1
446,1556
3,563
745,2866
1835,1
2113,3648
270,2121
2383,6
3252,3
1295,40
3447,745
996,6
2970,1597
3706,19
209,2514
60,76
3573,6
611,24
41,5
2361,50
966,49
3114,47
1313,6
89,6
3183,7
2266,3704
2977,1
1445,9
148,244
385,481
3237,37
1385,5
1694,74
2315,3
3020,613
817,1
462,713
1896,10
2630,1
2745,126
1813,1
247,34
3464,3423
619,1358
12,1
9,1
1230,1932
437,857
3381,107
392,6
1722,50
3509,11
230,1625
2557,127
1534,1
2784,24
58,9
1529,9
1808,2
3110,1
1392,19
2614,7
884,652
3256,342
3510,443
989,89
3527,184
3803,1276
346,1
3877,4
26,57
2159,136
2709,347
427,528
380,876
2365,5
494,45
755,2831
1904,83
151,1201
232,347
45,80
692,3
1163,509
27,1501
867,1
1645,67
439,25
2770,1777
2794,364
9,13
2603,3
3402,338
3763,592
282,860
2688,3251
401,451
3356,2
1980,12
3105,25
639,643
216,852
2248,33
2583,796
2659,87
2161,2
25,137
123,8
399,24
1248,96
133,2636
2976,25
1453,31
2024,8
5,365
401,158
1020,2281
6,9
1291,2
625,790
1245,2174
146,15
1133,134
1880,593
109,1448
3919,1967
3020,257
1405,1
1,29
459,1103
3087,63
585,128
3452,1164
2215,7
49,57
137,3004
867,137
597,264
60,26
3879,2252
1230,63
231,7
129,433
1278,5
201,143
236,982
176,735
290,2695
410,1174
575,12
431,3
236,1
37,2251
1380,958
289,6
2224,26
1,1684
39,1100
140,212
575,400
784,29
673,2
621,56
1624,24
3424,40
3483,3
6,5
1565,1
3252,21
53,32
70,4
1922,311
681,18
3378,1611
2550,2
707,5
75,64
741,74
11,148
352,171
3821,746
24,288
1372,28
3554,1250
2869,2
58,2
322,17
2789,293
855,3
3,9
1023,1080
1697,21
1223,913
2233,2919
83,30
180,27
956,5
1503,62
23,805
3184,2076
685,36
2548,20
1790,26
2324,12
121,18
3036,28
20,849
9,13
2659,6
1801,37
2040,113
526,13
2869,35
937,165
646,450
2642,24
425,88
1817,30
1050,19
3450,1
1823,11
32,115
635,26
24,31
105,638
1676,443
2395,2008
1592,8
533,10
2144,439
2365,1330
1939,1605
365,102
1015,4
3298,1
3563,50
2223,62
543,5
2314,5
1821,3
361,20
3607,926
1064,262
1416,5
25,121
1140,24
3520,501
1095,153
326,67
54,49
1445,102
638,1882
186,1
707,48
3910,638
1659,1
3123,962
1752,398
785,3
1534,1
927,2253
166,7
87,586
1785,1194
395,1
334,283
676,1864
4,5
371,6
180,2342
3962,3
1403,2454
23,8
2600,671
1505,714
3510,1256
1563,22
3550,2067
643,1
990,12
336,517
569,590
873,26
2757,286
2204,2092
3532,2
593,12
1622,1700
189,1
2049,239
2344,5
2904,6
1520,3
3078,7
1138,204
315,75
3842,2857
258,43
2157,389
807,154
1483,508
873,6
1224,19
1252,84
3580,2171
1474,1
890,37
3935,7
2073,1
19,1088
2015,56
3269,3
343,25
843,5
3513,1
743,875
1355,33
3472,43
3243,45
1922,8
306,3225
3749,2
3393,1
495,104
195,166
83,8
2743,719
193,435
690,1087
2998,321
311,735
2294,2
2883,146
202,45
122,1
3170,6
3674,92
2815,648
764,2
1288,1074
1239,3
3931,1264
172,3
1780,586
1039,22
2958,21
327,5
989,338
2938,1159
40,275
1477,37
2806,1980
1419,1
376,1
711,19
677,1385
77,69
2510,14
1125,2
753,1
1502,45
233,18
1742,2894
1066,3
69,48
42,111
1217,827
1868,801
721,3
609,1374
1126,1
3407,1510
3932,18
1551,325
1996,253
3592,14
306,1084
2290,1
606,26
1765,9
2699,799
129,66
698,7
2495,2658
32,7
5,221
1639,2
3521,371
1759,30
102,12
1889,20
29,22
2757,876
2056,13
3971,2841
634,12
238,914
1884,385
2569,21
85,739
3387,1
2441,80
2838,452
1427,1268
204,783
1357,3038
1965,18
261,6
291,1
2923,3101
2429,50
132,1364
47,37
81,143
3590,107
1945,1458
208,5
2132,1
3125,31
2754,15
624,2989
1336,62
2170,1
2371,2414
2091,3157
712,11
2872,288
1170,1070
1640,5
1943,176
48,8
541,6
539,4
1838,17
859,6
2661,590
503,1741
2827,1321
2686,2629
60,37
3520,2580
65,108
2989,1
898,58
101,3
3674,142
2779,3363
1242,2879
1370,10
175,703
2235,7
2755,1503
745,19
13,9
2323,11
20,688
507,11
2069,978
3453,1
3881,2802
840,2449
275,1
93,51
6,1259
1165,9
2272,7
1941,180
158,924
629,1561
629,6
1408,32
1466,732
2993,7
2272,1376
2384,47
1629,55
1770,1
3604,57
1099,6
2084,28
1381,2
1731,2
308,1591
3037,40
2905,431
1134,24
3612,5
8,8
2,3588
726,245
2192,1045
757,3806
1196,12
3825,430
2627,1
2818,68
536,5
35,1
139,25
1913,1273
215,1
1052,1
24,1
1987,6
2394,166
3337,14
2423,5
179,1
38,1
502,433
11,86
3340,34
596,118
657,932
2274,2865
1331,892
2377,4
6,33
1288,5
210,3294
111,1247
3314,2
3917,2826
2347,38
6,34
1579,3379
1935,13
716,764
3369,39
402,782
192,1
67,53
1878,5
1290,32
1743,14
2062,632
3590,2
3977,84
1678,15
5,843
3258,814
1588,234
8,18
1454,11
1288,5
1206,103
36,2516
1746,1142
1373,61
767,3
1661,18
2713,665
1323,5
1930,16
513,71
532,21
1149,1
1416,2606
2409,1933
29,304
3903,6
1363,1614
2457,2541
2536,382
3064,46
1853,25
1551,813
3905,553
3534,3
2392,2
2981,3
2304,39
2214,304
1180,55
48,1133
61,120
2734,174
3403,4
69,32
2263,12
1087,2615
91,194
8,16
3360,11
3772,4
2154,905
2702,1828
3095,36
5,1
1212,37
3613,2446
685,311
753,286
410,222
35,314
740,38
927,120
326,960
2346,1290
1225,19
1481,1734
3619,2
7,1946
981,14
186,3130
1415,24
3495,707
942,273
289,115
2505,1
1674,171
1965,105
3668,5
776,98
860,15
3762,17
1935,33
3278,76
2115,35
1083,20
565,47
609,3616
818,141
3931,2
453,1570
3393,2
1217,35
1742,17
1496,920
414,2810
1147,5
2075,2112
177,259
1497,19
2510,411
2813,1071
48,95
69,20
1385,2
2134,1539
629,12
1060,343
506,1
193,357
1403,1818
3015,713
1346,3
3655,7
1440,629
99,3528
3968,1
44,223
3424,1
2651,8
2906,1006
169,349
3252,479
802,16
2286,92
572,30
729,848
3334,7
325,1201
1207,31
262,28
265,20
1202,1
1285,467
427,26
14,3
459,2558
4,1
1737,47
1327,1
3131,2852
1267,10
742,158
1144,803
3436,31
2087,7
562,2013
3040,41
494,53
2351,119
169,11
38,26
412,171
625,446
655,5
711,18
481,381
1856,1
1715,240
2036,11
1294,194
975,9
2974,43
981,14
1230,1
2826,90
1849,38
3938,2658
1470,219
1144,1
3016,24
1271,1493
1370,2
764,66
579,2026
2153,94
1346,761
1464,75
159,171
24,1
1797,12
276,1
34,79
551,4
2493,889
3054,2
3091,3
587,505
297,3994
3348,25
455,4
1008,1
2364,2
2583,2339
2944,19
3083,22
3004,6
21,1244
144,7
1556,1
180,3
2748,5
700,7
2446,105
13,22
24,31
1708,47
2624,2
2218,444
866,3877
1936,8
2194,3728
1278,29
460,2743
7,2021
1756,6
844,238
1883,92
2223,3990
1169,2
3137,414
3226,2
2666,2
37,18
1503,93
1836,1030
3007,1260
2021,1
2992,70
3569,4
3978,4
3822,273
265,5
309,12
600,69
2035,2320
1296,16
865,193
80,363
1056,2444
774,20
1190,1209
369,1
3149,13
552,5
3801,7
1706,157
2097,754
1198,18
737,1
7,686
3365,2629
3358,57
1917,330
1404,1174
2512,1089
1300,100
3013,3291
96,6
3229,20
1674,1296
330,1
2006,2476
697,4
2415,51
1842,1
3350,101
859,2
586,1
3719,495
582,2
1413,217
166,178
59,778
909,69
2217,1884
3192,5
3764,80
152,476
3035,79
2561,274
880,102
132,75
1129,2
1301,44
157,116
464,9
3147,37
2081,418
1764,12
3450,31
492,4
2182,4
2075,7
194,11
3467,3819
3479,99
2459,363
2461,55
3294,2
960,2570
3044,3
3905,138
28,1053
1906,1831
1640,5
281,7
1169,31
2349,5
680,478
3661,3
2921,27
168,2031
1380,1
267,5
2489,3
1306,5
22,9
1379,4
18,195
1232,24
2644,966
3146,243
2028,2
1525,2
3141,28
2256,286
2233,6
634,4
264,97
1942,39
15,17
871,3
231,1
1438,20
830,18
1639,12
1224,457
929,7
2010,7
521,20
704,622
122,1
3712,83
1001,12
925,38
1536,87
3457,3
1404,5
964,3
153,1
2629,17
38,27
1682,20
1955,14
427,3244
620,102
645,1782
792,529
234,508
3299,1518
1503,1329
3773,1508
745,103
2275,2
10,3416
3566,7
102,3
1720,514
384,186
11,55
3066,31
3215,7
1610,6
1241,65
3165,1526
26,1682
3961,19
295,1210
1906,710
1423,134
402,24
2448,493
2539,3563
1073,4
662,11
3417,373
2332,355
3365,34
682,166
615,1
2981,1656
258,4
1024,613
1088,5
51,29
2237,1391
3,2235
6,1389
921,5
1422,5
67,4
3443,2494
339,2554
2499,5
3122,960
1359,127
1276,100
435,193
2764,641
208,344
1673,2
2599,794
54,41
23,2267
3968,1
2694,59
194,1455
20,36
468,8
1581,137
3808,11
129,2377
2433,15
3739,1693
231,489
420,254
2051,12
1427,1
348,124
1995,1843
3221,2
2243,150
139,4
2603,20
1006,12
528,1
1612,1
1533,12
129,1
426,3097
58,44
1584,103
1084,100
1407,143
2243,170
3840,2
3291,93
1316,2070
505,43
1812,234
158,594
93,907
2048,1
1015,344
132,325
539,25
500,497
2514,55
2009,21
1206,1958
60,275
164,2
137,358
727,3500
189,2
1639,95
182,32
2878,18
2763,764
531,2052
2899,4
2587,2438
608,2
1380,7
764,1
8,17
2813,4
491,594
36,5
1810,3325
3668,3133
3314,8
1992,1
228,9
1874,1
51,66
1676,15
705,1
1711,194
2371,2
3407,12
2178,1018
2772,5
984,25
949,1
693,212
2658,1816
484,655
576,375
1919,6
602,1
3544,7
1702,6
953,1117
2608,688
2330,182
2406,26
103,615
1330,7
3979,814
145,1277
2510,631
722,35
1587,114
843,135
2198,59
3112,24
647,45
1436,2
2363,2
1064,5
2034,119
3508,286
582,24
2108,1
142,22
1112,24
3825,1
995,6
2413,925
412,2
1393,2701
102,318
3127,876
3060,19
561,2
183,1070
105,3496
191,1
3239,3864
882,106
1485,133
1008,3
1654,23
1637,142
548,22
1083,42
1621,1734
736,1
39,10
3692,804
91,123
647,2928
350,3036
400,28
154,794
3418,3
3481,398
1607,1
294,11
1545,119
580,31
3389,352
2502,231
2024,1
2712,2385
1039,1
1149,694
1337,14
659,1
3593,32
536,5
8,22
2249,59
3789,1
3912,44
2393,618
1760,67
1624,1575
1922,8
1866,24
883,197
645,15
666,984
1500,100
3126,1
2918,1
2319,7
2360,128
3841,11
2177,63
818,932
3341,8
3220,1683
3344,86
2570,1441
3690,185
485,49
3442,2
31,128
1795,7
619,3577
394,17
643,17
3348,2659
628,3477
1764,455
1005,3659
2051,55
1454,11
992,15
1356,5
1133,2993
1796,2524
1052,3
1108,3
3958,4
1114,3568
1536,56
1865,125
3428,47
1705,262
1231,5
295,112
506,1
504,35
510,7
1266,139
304,1
449,3239
709,1
3081,2827
2598,3597
15,72
2013,11
2245,38
3538,20
252,2382
159,319
1978,1018
1371,46
2432,716
2564,1
3667,604
2503,394
263,820
681,36
2394,562
111,192
478,83
3226,1
3696,3551
46,1013
927,1
449,114
1759,1
3107,42
737,44
1604,1098
925,6
174,1
3898,11
1911,23
159,171
1773,4
2653,5
280,543
3725,33
916,595
238,34
1060,1
640,3
1036,1
1771,30
1279,7
35,1868
1905,498
183,681
10,43
1262,26
3974,86
2276,1960
3072,2
3017,33
301,7
251,67
996,7
3341,8
1444,1
304,78
1461,21
2334,11
1407,298
3003,2084
1904,1623
3840,457
7,4
1388,6
2571,180
893,710
824,7
120,5
2214,947
1839,66
2380,31
1345,1511
2691,1176
614,5
476,39
1313,1795
159,1200
1148,3670
1016,1305
1249,15
505,1
1403,1818
3750,3
660,510
60,41
2789,467
1963,1963
4,145
2925,2
1947,68
3947,1227
3673,1017
131,3
133,1
1604,865
60,26
1665,2636
380,1
1893,83
218,2
3967,24
449,739
3113,107
286,179
1472,424
796,6
2255,26
2179,6
848,99
562,3914
286,631
1468,1
3027,247
3560,582
1416,583
2253,6
3141,78
2992,3075
405,3
665,1
463,547
3674,1
181,616
516,29
1353,1
445,780
33,5
1607,2
2263,1086
1796,3
3470,112
3652,30
2863,125
127,4
913,124
2940,582
325,193
3725,1
2046,216
473,560
2807,108
521,3427
3395,607
345,3
421,19
256,70
1462,2
1638,560
325,241
2010,2
2174,11
527,15
2053,284
23,4
149,32
682,14
1731,218
3735,2632
2417,7
1269,99
2411,100
22,1610
21,16
3967,2702
1338,2506
3274,102
1347,7
3005,2416
3090,897
2653,70
3937,29
440,3
35,167
223,1
1568,44
25,1807
221,2213
1404,3689
1674,10
2018,11
3011,876
1,7
1752,784
3543,91
1823,20
2716,214
2282,2071
2917,210
1118,1739
3683,39
53,1408
1851,2
1408,53
3438,1
1873,1246
1833,3
43,20
3073,208
2247,112
2694,99
390,3
3210,20
1964,7
1537,7
2785,12
1808,6
28,478
835,7
10,8
65,283
1876,306
1797,11
2793,6
43,1100
375,2947
2915,25
199,390
1294,1350
2934,236
3734,7
2478,24
264,3126
11,856
3535,114
1806,1
519,434
7,336
906,3698
3378,1
250,2724
1830,77
3038,4
715,120
332,343
1045,1
183,966
1908,1736
146,3240
2761,2024
3505,2633
181,41
3795,10
2464,3957
1632,494
174,2606
69,3428
2278,802
3908,1460
1057,18
262,420
1156,2013
3480,1161
74,2978
1147,6
1085,191
100,18
3828,6
2492,36
1085,1
770,25
898,1958
467,3786
1507,66
3724,3
975,3
922,1
3926,48
2098,7
1824,3029
1274,203
1248,1248
1203,863
599,26
297,238
2423,7
25,3489
787,1
2645,1513
1654,32
1881,179
2614,5
52,637
146,1
1290,1
2285,1
118,622
3669,304
8,8
3840,3
1066,437
2401,544
3626,1
341,2
1767,5
1714,2425
1687,2246
714,5
536,2700
1042,132
960,5
1909,1236
2971,28
3084,24
2058,2
2232,986
1814,42
53,33
1170,3
467,1
336,24
432,134
9,4
3336,9
545,3477
339,4
267,10
1578,1665
2151,1
2543,21
1426,12
13,78
428,36
3276,12
2941,55
2416,25
2894,106
2432,2123
2730,219
1308,707
800,5
934,2
2031,92
1635,32
2412,234
829,12
3063,84
1160,2
2878,117
2662,2270
2232,39
3495,120
1806,1542
608,28
19,32
2631,5
3327,14
2376,80
1655,915
120,1
346,555
1863,2687
1432,2242
3597,3
391,2526
3740,17
3597,9
1640,25
140,261
1887,208
924,549
3348,6
666,34
3085,2382
2675,1
1240,41
695,471
855,1
1856,1
3456,1550
7,30
3503,1073
1063,5
1002,3
583,1488
613,3016
425,9
386,3543
1083,2726
2301,7
949,2087
250,2
1607,44
2273,1388
1162,39
1345,221
2201,5
265,40
19,1
2784,82
2452,589
2293,20
23,6
43,1251
2000,223
191,6
486,448
3508,980
625,161
20,1163
827,827
365,3831
1983,3015
3595,262
784,18
388,133
8,322
2379,168
3456,19
116,1730
539,96
31,1899
972,101
3976,24
2369,1203
248,529
31,191
2535,20
2856,3521
117,10
32,53
2404,6
3758,490
667,1
1401,108
817,63
332,3
636,2
200,5
31,207
3043,21
172,2
2212,1
1601,1
1035,241
44,24
2339,823
2315,38
450,27
80,20
1125,24
2070,84
1103,1
3440,537
173,1
620,1
361,1
1841,108
15,1559
1437,2
1327,11
1078,1
3388,29
2211,626
1304,2957
3458,389
499,1124
1439,1
1439,2632
7,779
245,2
1595,5
3652,12
27,20
2836,7
1,4
14,6
2770,1
3814,228
591,14
1146,407
390,1
2428,211
3233,1
265,319
1283,102
764,50
2706,2714
466,20
688,1
4,4
247,12
2478,79
2540,4
414,6
2246,469
2572,1
2384,26
1107,14
2118,9
2116,20
2609,6
2495,795
370,1931
2550,6
3226,2
28,101
1594,989
3245,277
921,305
1679,3363
102,612
1169,57
1761,45
286,26
14,417
954,24
3744,1663
169,25
1144,1
824,231
801,5
1295,9
2030,2
1285,2
3010,1
1737,1
108,163
2823,3
1778,98
481,1961
2237,155
2341,47
6,47
1886,7
3610,1
1694,7
3430,327
88,600
3402,1
45,70
1752,1291
203,29
3834,988
587,16
2606,132
1470,45
3016,671
22,5
162,2
381,2239
1066,119
3489,142
228,177
967,826
3159,1
2119,2
547,2975
2999,263
737,50
429,25
538,7
2686,330
3595,1662
3341,81
19,3355
1770,246
3470,112
198,129
1568,3320
2067,118
262,642
1406,447
9,9
1763,1176
685,586
206,2
1461,124
486,509
2791,605
637,52
430,1
133,1
213,60
738,9
709,433
623,361
1035,31
853,4
3690,1625
2151,72
15,10
3107,2298
2983,30
7,296
2336,2
2806,42
38,1574
1168,1
1824,35
3878,1
511,3
1214,106
1525,3
3052,11
1410,2
1621,16
3420,2
299,87
715,240
1664,562
3146,3
590,68
2943,34
2260,5
344,3
153,883
3644,857
2300,2655
1878,85
277,36
2682,248
822,1344
3371,1
77,218
3044,28
1182,30
742,172
1449,2492
2735,3941
2735,1294
53,31
3781,283
1840,15
3776,53
701,732
3056,192
783,26
771,1020
1784,7
612,7
298,140
1934,47
992,65
956,19
142,1
2940,45
3019,7
201,3
2300,1075
2325,1588
2482,1671
2738,14
940,1117
1628,7
3103,3
3345,1
2664,17
302,1
1445,3
1737,3577
2152,542
961,432
1467,54
3026,18
3710,1639
2082,1177
73,4
2378,15
79,2250
1288,619
489,43
1964,11
2265,311
3189,1
822,2
155,1041
2010,880
1134,2
1843,1
3094,6
2228,1
902,24
3176,26
1560,304
1393,64
3778,1
3478,672
3036,11
709,6
197,2073
3958,8
913,223
752,148
131,250
3155,220
3264,130
861,35
2962,1882
1288,7
2091,1
3404,49
2898,255
2687,24
3235,1198
588,5
1661,1542
314,793
123,91
3162,6
73,75
1380,7
276,5
3548,1
571,3
1805,2
719,350
737,3
1216,1
2769,147
1658,3
220,130
1886,1155
630,437
2060,5
3208,11
1022,938
2385,623
2672,50
1064,1
162,40
933,75
50,1328
2819,1621
1121,116
2054,2
1081,682
1023,2
1870,207
3711,36
821,1
2631,2
879,4
3734,7
3873,19
2880,5
1393,1163
322,210
3929,662
3999,431
2412,177
526,214
1928,1343
1635,959
1023,2
267,2782
3879,2252
1977,2
440,6
1146,98
22,4
2816,87
603,1253
2045,727
3833,225
3168,1620
1452,779
2483,5
3591,109
2059,11
3566,77
2091,6
1651,61
1257,644
3052,632
551,6
686,100
3172,7
1925,1
500,1
986,3
158,221
480,88
1275,2
1696,3874
1384,28
1441,765
2678,1
317,13
515,9
38,216
664,539
2430,14
1010,38
366,444
3230,1
1230,2
570,6
2531,525
49,7
2584,97
1,3
3007,26
2812,1485
1758,6
167,24
995,1
3544,528
1777,25
2259,1
1779,890
2364,1526
289,14
803,3
2130,1364
3,2
824,123
1750,1
1417,2641
1078,3870
282,7
3943,1
665,96
1688,1
1427,33
526,72
3505,2
654,3
1804,36
2277,2
795,482
2018,13
1650,20
1197,535
458,11
772,1378
2868,1796
2873,1151
7,1
2441,1734
701,1
225,446
1185,6
1542,175
611,99
2447,3376
1559,24
226,44
834,2010
1572,45
2554,2
111,315
739,2
2378,172
1161,335
837,1437
1471,3374
1395,3465
1359,127
1644,1370
696,1
31,2026
2521,2579
104,118
2377,33
978,519
1031,5
45,1138
3799,393
3846,174
2516,2151
83,53
388,3238
3749,1074
3509,65
506,20
3108,1437
350,2517
2284,330
70,491
1119,1190
573,93
3889,1
2254,113
1508,19
1401,68
1187,1
1813,4
940,1
321,206
1179,8
256,27
76,3
2266,1415
1561,96
1326,34
3259,163
1893,3
1717,352
1466,7
2239,3
997,6
1431,8
1980,2574
368,178
3520,15
1674,196
1519,266
1134,2895
2200,5
812,3
2657,178
2721,196
712,465
21,8
496,7
253,7
2256,7
95,2547
2533,2658
1814,1614
1138,195
404,179
2284,2
1134,5
1164,2524
2023,888
1341,30
20,82
997,716
1205,3
1773,1
670,500
95,25
137,1
623,284
1747,1
1730,1
2260,7
544,6
319,1
15,212
3594,1
2176,12
188,25
1349,3
2609,1215
173,667
8,5
384,407
1866,28
3211,2874
940,182
935,334
628,445
1107,1
477,848
2465,4
375,2507
726,93
7,90
81,1
613,2
792,3
99,21
311,1178
7,331
531,1
255,206
31,193
1327,957
2189,5
2205,466
1100,68
557,57
159,314
